num_reward_actors,step,sample_s,reward_s,learn_s,step_s,n_traj,reward_mean,loss,kl
1,0,0.04059260408394039,0.027446576161310077,0.09498168714344501,0.16302086738869548,nan,-300.2533264160156,-4.315127810627928e-08,0.0
1,1,0.040305293863639235,0.027907100971788168,0.021895495941862464,0.09010789077728987,nan,-294.13604736328125,-1.5068800962581008e-07,4.03573130469681e-09
1,2,0.040160652017220855,0.027444261126220226,0.021083149826154113,0.0886880629695952,nan,-304.7408447265625,0.0005202403990551829,0.002601799787953496
1,3,0.03973451186902821,0.02761330921202898,0.021135087125003338,0.08848290820606053,nan,-289.12481689453125,-0.00022788302158005536,-0.0011396355694159865
1,4,0.03970928420312703,0.02749389410018921,0.02180249197408557,0.0890056702774018,nan,-286.11236572265625,0.0008371483418159187,0.004186087287962437
1,5,0.04027438606135547,0.02758390409871936,0.022038475144654512,0.08989676530472934,nan,-262.84735107421875,0.0028875183779746294,0.014438682235777378
1,6,0.04003450507298112,0.027829754864796996,0.021925233071669936,0.08978949300944805,nan,-232.29551696777344,0.00886298343539238,0.044320400804281235
1,7,0.0400250069797039,0.02749859308823943,0.022064234130084515,0.08958783419802785,nan,-209.07888793945312,0.016636155545711517,0.08319289982318878
1,8,0.03972988203167915,0.030086586019024253,0.0211421400308609,0.09095860808156431,nan,-211.70216369628906,0.015657547861337662,0.0783003494143486
1,9,0.039662084775045514,0.02753139496780932,0.02102839690633118,0.08822187664918602,nan,-204.17379760742188,0.01951991766691208,0.09761720895767212
2,0,0.04024174506776035,2.6124562330078334,0.026294400915503502,2.678992378991097,nan,-300.2533264160156,-4.315127810627928e-08,0.0
2,1,0.040856558829545975,0.019760444993153214,0.024298871168866754,0.08491587499156594,nan,-294.13604736328125,-1.5068800962581008e-07,4.03573130469681e-09
2,2,0.04022178705781698,0.019322651904076338,0.023945407941937447,0.08348984690383077,nan,-304.7408447265625,0.0005202403990551829,0.002601799787953496
2,3,0.03985972609370947,0.019425756996497512,0.02286647097207606,0.08215195406228304,nan,-289.12481689453125,-0.00022788302158005536,-0.0011396355694159865
2,4,0.04036017809994519,0.019178271992132068,0.029001786839216948,0.0885402369312942,nan,-286.11236572265625,0.0008371483418159187,0.004186087287962437
2,5,0.041642966913059354,0.01952775800600648,0.024215755984187126,0.08538648090325296,nan,-262.84735107421875,0.0028875183779746294,0.014438682235777378
2,6,0.040016440907493234,0.018981961999088526,0.023672465002164245,0.082670867908746,nan,-232.29551696777344,0.00886298343539238,0.044320400804281235
2,7,0.040623210836201906,0.01882812287658453,0.02333955909125507,0.0827908928040415,nan,-209.07888793945312,0.016636155545711517,0.08319289982318878
2,8,0.040300624910742044,0.018994655925780535,0.023057790007442236,0.08235307084396482,nan,-211.70216369628906,0.015657547861337662,0.0783003494143486
2,9,0.040041688131168485,0.019113719929009676,0.02220737305469811,0.08136278111487627,nan,-204.17379760742188,0.01951991766691208,0.09761720895767212
4,0,0.040015269070863724,6.239193571964279,0.02441753400489688,6.303626375040039,nan,-300.2533264160156,-4.315127810627928e-08,0.0
4,1,0.04073377791792154,0.013464667135849595,0.02386487601324916,0.0780633210670203,nan,-294.13604736328125,-1.5068800962581008e-07,4.03573130469681e-09
4,2,0.040718900971114635,0.012671225937083364,0.022695648949593306,0.0760857758577913,nan,-304.7408447265625,0.0005202403990551829,0.002601799787953496
4,3,0.040127719985321164,0.011313415132462978,0.027675664983689785,0.07911680010147393,nan,-289.12481689453125,-0.00022788302158005536,-0.0011396355694159865
4,4,0.040975994197651744,0.013009652029722929,0.024399450980126858,0.07838509720750153,nan,-286.11236572265625,0.0008371483418159187,0.004186087287962437
4,5,0.04077182011678815,0.012361353961750865,0.02728532301262021,0.08041849709115922,nan,-262.84735107421875,0.0028875183779746294,0.014438682235777378
4,6,0.042030975921079516,0.012288997881114483,0.0255540800280869,0.0798740538302809,nan,-232.29551696777344,0.00886298343539238,0.044320400804281235
4,7,0.04084794293157756,0.01159127801656723,0.02432810701429844,0.07676732796244323,nan,-209.07888793945312,0.016636155545711517,0.08319289982318878
4,8,0.04111756989732385,0.011875811964273453,0.023891025921329856,0.07688440778292716,nan,-211.70216369628906,0.015657547861337662,0.0783003494143486
4,9,0.04049245500937104,0.011955592082813382,0.023669729009270668,0.07611777610145509,nan,-204.17379760742188,0.01951991766691208,0.09761720895767212
8,0,0.04039692506194115,11.572022719075903,0.02715918584726751,11.639578829985112,nan,-300.2533264160156,-4.315127810627928e-08,0.0
8,1,0.04150889487937093,0.01063138386234641,0.026963287964463234,0.07910356670618057,nan,-294.13604736328125,-1.5068800962581008e-07,4.03573130469681e-09
8,2,0.044135479955002666,0.010435485979542136,0.02736237784847617,0.08193334378302097,nan,-304.7408447265625,0.0005202403990551829,0.002601799787953496
8,3,0.04466731892898679,0.014614987885579467,0.02838823408819735,0.0876705409027636,nan,-289.12481689453125,-0.00022788302158005536,-0.0011396355694159865
8,4,0.042370684910565615,0.015350810019299388,0.026993363862857223,0.08471485879272223,nan,-286.11236572265625,0.0008371483418159187,0.004186087287962437
8,5,0.04155435995198786,0.014309824910014868,0.02535689901560545,0.08122108387760818,nan,-262.84735107421875,0.0028875183779746294,0.014438682235777378
8,6,0.041157715022563934,0.010669304989278316,0.023926901863887906,0.07575392187573016,nan,-232.29551696777344,0.00886298343539238,0.044320400804281235
8,7,0.041026609018445015,0.0102847118396312,0.02534261206164956,0.07665393291972578,nan,-209.07888793945312,0.016636155545711517,0.08319289982318878
8,8,0.04074533097445965,0.01026883302256465,0.02451482694596052,0.07552899094298482,nan,-211.70216369628906,0.015657547861337662,0.0783003494143486
8,9,0.04121699696406722,0.011280684033408761,0.02478864206932485,0.07728632306680083,nan,-204.17379760742188,0.01951991766691208,0.09761720895767212
16,0,0.040746090933680534,21.830362288979813,0.02452133991755545,21.89562971983105,nan,-300.2533264160156,-4.315127810627928e-08,0.0
16,1,0.0410088449716568,0.010782178025692701,0.022894693072885275,0.07468571607023478,nan,-294.13604736328125,-1.5068800962581008e-07,4.03573130469681e-09
16,2,0.04084283299744129,0.007593977032229304,0.024646826088428497,0.0730836361180991,nan,-304.7408447265625,0.0005202403990551829,0.002601799787953496
16,3,0.041711736004799604,0.008785916026681662,0.023744199890643358,0.07424185192212462,nan,-289.12481689453125,-0.00022788302158005536,-0.0011396355694159865
16,4,0.0408693531062454,0.008687502006068826,0.024296066025272012,0.07385292113758624,nan,-286.11236572265625,0.0008371483418159187,0.004186087287962437
16,5,0.040771248983219266,0.009286135900765657,0.025138078024610877,0.0751954629085958,nan,-262.84735107421875,0.0028875183779746294,0.014438682235777378
16,6,0.04088834905996919,0.009446648182347417,0.024105258053168654,0.07444025529548526,nan,-232.29551696777344,0.00886298343539238,0.044320400804281235
16,7,0.040198141941800714,0.009384021162986755,0.023209725972265005,0.07279188907705247,nan,-209.07888793945312,0.016636155545711517,0.08319289982318878
16,8,0.04009459703229368,0.008090791059657931,0.023580291075631976,0.07176567916758358,nan,-211.70216369628906,0.015657547861337662,0.0783003494143486
16,9,0.040002665016800165,0.00845564715564251,0.02335272403433919,0.07181103620678186,nan,-204.17379760742188,0.01951991766691208,0.09761720895767212
